Precinct,1ST CHOICE COUNCIL MEMBER WARD ELEVEN WARD 11,2ND CHOICE COUNCIL MEMBER WARD ELEVEN WARD 11,3RD CHOICE COUNCIL MEMBER WARD ELEVEN WARD 11,COUNT
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,overvote,UWI,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-01,MATT STEELE,JOHN QUINCY,MATT STEELE,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-04,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BOB SCHLOSSER,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BOB SCHLOSSER,MATT STEELE,JOHN QUINCY,1
MINNEAPOLIS W-11 P-07,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-03,MATT STEELE,BOB SCHLOSSER,UWI,1
MINNEAPOLIS W-11 P-06,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-08,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-06,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-08,BOB SCHLOSSER,UWI,undervote,1
MINNEAPOLIS W-11 P-09,BOB SCHLOSSER,MATT STEELE,JOHN QUINCY,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,UWI,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-08,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-06,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,BOB SCHLOSSER,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-08,BOB SCHLOSSER,MATT STEELE,JOHN QUINCY,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,undervote,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-02,BOB SCHLOSSER,undervote,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-10,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-08,BOB SCHLOSSER,JOHN QUINCY,MATT STEELE,1
MINNEAPOLIS W-11 P-09,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-02,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-05,UWI,undervote,undervote,1
MINNEAPOLIS W-11 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-10,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,MATT STEELE,MATT STEELE,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-03,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-10,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,JOHN QUINCY,JOHN QUINCY,1
MINNEAPOLIS W-11 P-07,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-01,BOB SCHLOSSER,MATT STEELE,JOHN QUINCY,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,BOB SCHLOSSER,MATT STEELE,JOHN QUINCY,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-04,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-01,BOB SCHLOSSER,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,JOHN QUINCY,JOHN QUINCY,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-10,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-06,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BOB SCHLOSSER,JOHN QUINCY,MATT STEELE,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-05,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,JOHN QUINCY,JOHN QUINCY,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-10,BOB SCHLOSSER,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-01,BOB SCHLOSSER,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-08,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-08,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,JOHN QUINCY,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-07,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-03,MATT STEELE,JOHN QUINCY,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,MATT STEELE,BOB SCHLOSSER,JOHN QUINCY,1
MINNEAPOLIS W-11 P-06,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-09,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-10,MATT STEELE,BOB SCHLOSSER,undervote,1
MINNEAPOLIS W-11 P-05,MATT STEELE,undervote,undervote,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-07,JOHN QUINCY,MATT STEELE,undervote,1
MINNEAPOLIS W-11 P-05,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
MINNEAPOLIS W-11 P-08,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,JOHN QUINCY,JOHN QUINCY,1
MINNEAPOLIS W-11 P-03,JOHN QUINCY,MATT STEELE,BOB SCHLOSSER,1
MINNEAPOLIS W-11 P-04,JOHN QUINCY,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOHN QUINCY,BOB SCHLOSSER,MATT STEELE,1
